Date,Open,High,Low,Close,Adj Close,Volume
2018-07-23,12510.230469,12565.120117,12489.330078,12548.570313,12548.570313,65205400
2018-07-24,12590.790039,12755.269531,12585.910156,12689.389648,12689.389648,
2018-07-25,12685.679688,12695.120117,12538.120117,12579.330078,12579.330078,80817800
2018-07-26,12732.879883,12827.709961,12701.559570,12809.230469,12809.230469,
2018-07-27,12825.750000,12886.830078,12815.120117,12860.400391,12860.400391,95634400
2018-07-30,12822.870117,12848.950195,12798.200195,12798.200195,12798.200195,
2018-07-31,12809.740234,12860.589844,12739.830078,12805.500000,12805.500000,106509800
2018-08-01,12826.700195,12833.110352,12706.339844,12737.049805,12737.049805,
2018-08-02,12617.629883,12619.599609,12493.200195,12546.330078,12546.330078,103271900
2018-08-03,12572.610352,12644.519531,12561.620117,12615.759766,12615.759766,79345300
2018-08-06,12631.400391,12715.780273,12538.349609,12598.209961,12598.209961,65599400
2018-08-07,12656.870117,12738.530273,12646.160156,12648.190430,12648.190430,
2018-08-08,12622.980469,12704.580078,12586.230469,12633.540039,12633.540039,89371000
2018-08-09,12623.139648,12696.519531,12577.339844,12676.110352,12676.110352,71701900
2018-08-10,12574.200195,,12390.400391,12424.349609,12424.349609,
2018-08-13,,12396.860352,12323.200195,12358.740234,12358.740234,92773600
2018-08-14,12444.629883,12461.820313,12294.900391,12358.870117,12358.870117,
2018-08-15,12400.269531,12428.559570,12120.650391,12163.009766,12163.009766,99703000
2018-08-16,12202.129883,12251.400391,12168.919922,12237.169922,12237.169922,81469900
2018-08-17,12242.059570,12244.669922,12135.639648,12210.549805,12210.549805,86038300
2018-08-20,12263.009766,12373.360352,12245.559570,12331.299805,12331.299805,59670900
2018-08-21,12320.559570,12432.660156,12316.349609,12384.490234,12384.490234,
2018-08-22,12355.530273,12438.660156,12345.320313,12385.700195,12385.700195,77192800
2018-08-23,12367.480469,12400.959961,12367.480469,12400.250000,12400.250000,
